name,protein,total fat,fibre,carbs,calories
Apple,0.46,0.5,2.54,10.65,51.15
Avocado ,2.95,13.86,6.69,1.75,144.36
Banana,1.29,0.29,1.98,25.21,111.62
KalaJamun,0.92,0.63,4.35,10.64,54.25
Custard apple,1.62,0.67,5.1,20.38,98.95
Dates,2.38,0.35,9.1,72.67,310.95
Anjeer,2.03,0.37,4.64,16.28,81.5
Grapes,0.76,0.32,1.35,13.23,60.71
Guav,1.19,0.25,7.39,9.14,46.61
Jack fruit,2.74,0.15,3.62,14.01,72.18
Mango,0.54,0.55,1.88,8.18,41.83
Musk melon,0.42,0.35,1.51,4.24,23.18
Orange,0.7,0.13,1.29,7.92,37.28
Papaya,0.42,0.16,2.83,4.61,23.9
Pear,0.36,0.27,4.48,8.09,37.52
Phalsa,1.66,0.14,4.54,15.09,71.46
Pineapple,0.52,0.16,3.46,9.42,43.02
Pomegranate,1.33,0.15,2.83,11.58,54.73
Chiku,0.92,1.26,9.6,13.9,73.37
Strawberry,0.97,0.56,2.5,3.4,24.62
Water melon,0.6,0.16,0.7,3.86,20.32
